mcc,mnc,lac,cellid,lat,lon,signal,measured_at,rating,speed,direction,act,ta,psc,tac,pci,sid,nid,bid
740,2,20700,11379203,-1.2465182,-78.6296155,-100,1679748609752,3.7,0.0116815595,-2000.0,LTE,0,,20700,32,,,
740,2,20700,11379203,-1.2463855,-78.6293992,-102,1679748623805,3.6,0.55265266,82.31357,LTE,0,,20700,32,,,
740,2,20700,11379203,-1.2464302,-78.629197,-99,1679748628800,2.9,4.1091294,108.01794,LTE,0,,20700,32,,,
740,2,20700,11379203,-1.2465022,-78.6288071,-96,1679748633796,2.5,8.343569,93.07459,LTE,0,,20700,32,,,
740,2,20700,11379202,-1.2464559,-78.6284531,-98,1679748638771,2.3,8.028786,73.295944,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2462967,-78.6280824,-105,1679748643789,2.4,8.793785,62.425446,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2461092,-78.6277526,-96,1679748648778,2.4,6.4253073,58.379097,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2459445,-78.6276983,-96,1679748653804,2.6,4.0681825,353.35114,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2457512,-78.6279271,-96,1679748658790,2.7,6.7567244,314.07535,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.245357,-78.6282176,-88,1679748668770,2.5,2.636771,340.90433,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2452578,-78.6281443,-97,1679748673797,4.1,3.7389479,41.38574,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.245085,-78.627979,-98,1679748678756,2.3,4.9240947,47.088985,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2448386,-78.6277044,-85,1679748683767,2.5,8.142428,45.41102,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2445403,-78.6273426,-93,1679748688794,2.6,9.446311,48.518246,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2442212,-78.6269917,-94,1679748693779,2.6,9.516465,48.114292,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2439569,-78.6266416,-94,1679748698781,2.5,7.7645426,49.440895,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2437992,-78.6264746,-101,1679748703791,2.5,4.2998877,46.430668,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2437207,-78.6263537,-98,1679748708785,2.5,4.333691,53.137657,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2435454,-78.6261578,-98,1679748713793,2.2,6.261704,50.92323,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2433701,-78.6259812,-94,1679748718757,2.0,4.08556,46.567554,LTE,0,,20700,31,,,
