mcc,mnc,lac,cellid,lat,lon,signal,measured_at,rating,speed,direction,act,ta,psc,tac,pci,sid,nid,bid
740,2,20700,11379203,-1.2465011,-78.6297752,-97,1.68E+12,3.1,0.67971194,332.65958,LTE,0,,20700,32,,,
740,2,20700,11379203,-1.2465708,-78.6297092,-95,1.68E+12,3.9,0.12653928,211.87949,LTE,0,,20700,32,,,
740,2,20700,11379203,-1.2464667,-78.6295735,-92,1.68E+12,5.3,1.6482046,35.46132,LTE,0,,20700,32,,,
740,2,20700,11379203,-1.2463569,-78.6294616,-92,1.68E+12,5.2,1.4663665,69.90461,LTE,0,,20700,32,,,
740,2,20700,11379203,-1.246243,-78.6293273,-95,1.68E+12,4.9,2.2024634,43.66835,LTE,0,,20700,32,,,
740,2,20700,11379203,-1.2461791,-78.6292041,-89,1.68E+12,4.1,2.6281781,64.09066,LTE,0,,20700,32,,,
740,2,20700,11379203,-1.2461911,-78.6291062,-71,1.68E+12,3.8,2.7962668,122.92199,LTE,0,,20700,32,,,
740,2,20700,11379203,-1.2462752,-78.6290223,-78,1.68E+12,4,2.9017015,121.50499,LTE,0,,20700,32,,,
740,2,20700,11379203,-1.2462932,-78.6288682,-87,1.68E+12,4.3,3.2229264,89.315544,LTE,0,,20700,32,,,
740,2,20700,11379203,-1.2462553,-78.6286939,-90,1.68E+12,4.5,3.5644937,69.11012,LTE,0,,20700,32,,,
740,2,20700,11379203,-1.2461583,-78.6285899,-83,1.68E+12,4.1,3.723231,26.012821,LTE,0,,20700,32,,,
740,2,20700,11379203,-1.2460041,-78.6285498,-91,1.68E+12,3.8,3.565481,8.4043255,LTE,0,,20700,32,,,
740,2,20700,11379203,-1.2458581,-78.6285688,-95,1.68E+12,4,3.5755053,349.38547,LTE,0,,20700,32,,,
740,2,20700,11379203,-1.2457257,-78.6285824,-90,1.68E+12,4.3,3.0838604,10.673358,LTE,0,,20700,32,,,
740,2,20700,11379203,-1.245596,-78.6284979,-98,1.68E+12,4.9,1.3537046,26.039726,LTE,0,,20700,32,,,
740,2,20700,11379203,-1.245504,-78.6283693,-98,1.68E+12,4.3,1.9274673,40.92012,LTE,0,,20700,32,,,
740,2,20700,11379202,-1.2454567,-78.6283048,-95,1.68E+12,3.8,1.7952633,28.349594,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2452806,-78.628207,-90,1.68E+12,3.8,2.5014904,49.003773,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2451736,-78.6281299,-97,1.68E+12,4,2.9703922,36.884087,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2450804,-78.628014,-98,1.68E+12,4,3.2071984,52.345085,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2449825,-78.6278858,-93,1.68E+12,4.3,3.4240954,50.318752,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2448642,-78.6277743,-95,1.68E+12,4.4,3.6624446,42.92736,LTE,0,,20700,31,,,
