mcc,mnc,lac,cellid,lat,lon,signal,measured_at,rating,speed,direction,act,ta,psc,tac,pci,sid,nid,bid,WKT
740,2,20700,11379459,-1.2330908,-78.623415,-97,1.67995E+12,10.7,0.93774307,275.35626,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2331106,-78.6236881,-94,1.67995E+12,3.8,0.20140275,290.29614,LTE,0,,20700,50,,,,
740,2,20700,11386115,-1.2331361,-78.6236579,-96,1.67995E+12,4.1,0.799291,155.51103,LTE,0,,20700,47,,,,
740,2,20700,11386115,-1.2332444,-78.6236057,-99,1.67995E+12,5.4,1.3057423,178.43407,LTE,0,,20700,47,,,,
740,2,20700,11381762,-1.2333594,-78.6235455,-84,1.67995E+12,4.5,1.8965273,145.49994,LTE,0,,20700,-1,,,,
740,2,20700,11381762,-1.2334361,-78.6234435,-82,1.67995E+12,3.7,2.429005,141.40767,LTE,0,,20700,-1,,,,
740,2,20700,11386115,-1.2335764,-78.623348,-93,1.67995E+12,4.3,3.2883623,146.78148,LTE,0,,20700,47,,,,
740,2,20700,11379459,-1.2337255,-78.6232626,-95,1.67995E+12,4.6,3.7991028,152.45352,LTE,0,,20700,-1,,,,
740,2,20700,11379459,-1.233867,-78.6232387,-93,1.67995E+12,4.6,3.3738973,158.2706,LTE,0,,20700,-1,,,,
740,2,20700,11379459,-1.233979,-78.6231781,-94,1.67995E+12,3.8,3.0242465,152.30255,LTE,0,,20700,-1,,,,
740,2,20700,11379459,-1.2340698,-78.6231073,-93,1.67995E+12,3.8,2.8530536,149.70836,LTE,0,,20700,-1,,,,
740,2,20700,11379459,-1.2341757,-78.6230231,-89,1.67995E+12,3.8,2.8127623,148.72897,LTE,0,,20700,-1,,,,
740,2,20700,11379459,-1.2342628,-78.6229643,-92,1.67995E+12,3.7,2.7979424,149.54147,LTE,0,,20700,-1,,,,
740,2,20700,11379459,-1.23435,-78.6228653,-90,1.67995E+12,3.8,2.7642672,145.44435,LTE,0,,20700,-1,,,,
740,2,20700,11379459,-1.2344314,-78.6228205,-92,1.67995E+12,3.9,2.5939102,147.95215,LTE,0,,20700,-1,,,,
740,2,20700,11379459,-1.234554,-78.6227617,-88,1.67995E+12,3.7,1.5908434,154.28088,LTE,0,,20700,-1,,,,
740,2,20700,11379459,-1.2346499,-78.6227311,-87,1.67995E+12,3.7,1.8005208,151.97041,LTE,0,,20700,-1,,,,
740,2,20700,11379459,-1.2347992,-78.6226344,-87,1.67995E+12,3.7,2.021978,150.66658,LTE,0,,20700,-1,,,,
740,2,20700,11379459,-1.2349109,-78.6226083,-83,1.67995E+12,3.6,1.6798221,164.80525,LTE,0,,20700,-1,,,,
740,2,20700,11386115,-1.2349704,-78.6226162,-76,1.67995E+12,3.3,1.2794347,192.43805,LTE,0,,20700,47,,,,
740,2,20700,11386115,-1.2350684,-78.622606,-64,1.67995E+12,3.3,0.9659592,158.69514,LTE,0,,20700,47,,,,
740,2,20700,11386115,-1.2352053,-78.6225442,-76,1.67995E+12,5.1,1.834363,150.68861,LTE,0,,20700,47,,,,
740,2,20700,11386115,-1.2353006,-78.6224998,-75,1.67995E+12,3.7,2.1919227,147.79997,LTE,0,,20700,47,,,,
740,2,20700,11386114,-1.2353833,-78.6224546,-80,1.67995E+12,3.7,2.127753,146.80165,LTE,0,,20700,46,,,,
740,2,20700,11386114,-1.2354657,-78.6223889,-82,1.67995E+12,3.7,2.3324833,131.54224,LTE,0,,20700,46,,,,
740,2,20700,11386114,-1.2355442,-78.6223062,-81,1.67995E+12,3.7,2.5260751,121.20652,LTE,0,,20700,46,,,,
740,2,20700,11386114,-1.2356033,-78.6222252,-86,1.67995E+12,3.8,2.4577775,129.11353,LTE,0,,20700,46,,,,
740,2,20700,11386114,-1.235678,-78.6221641,-82,1.67995E+12,3.7,2.2185361,141.06763,LTE,0,,20700,46,,,,
740,2,20700,11386114,-1.2357673,-78.6220929,-73,1.67995E+12,4,2.2324479,158.03291,LTE,0,,20700,46,,,,
740,2,20700,11386114,-1.235844,-78.6220151,-78,1.67995E+12,4,2.337385,138.8315,LTE,0,,20700,46,,,,
740,2,20700,11386114,-1.2359635,-78.6219795,-86,1.67995E+12,3.8,2.5286012,159.36974,LTE,0,,20700,46,,,,
740,2,20700,11379459,-1.2360756,-78.6219192,-83,1.67995E+12,3.7,1.5122479,95.27862,LTE,0,,20700,50,,,,
740,2,20700,11379459,-1.2361667,-78.6218448,-82,1.67995E+12,3.6,1.9335794,147.65985,LTE,0,,20700,50,,,,
