mcc,mnc,lac,cellid,lat,lon,signal,measured_at,rating,speed,direction,act,ta,psc,tac,pci,sid,nid,bid
740,2,20700,11379459,-1.2329923,-78.6235146,-94,1.68003E+12,9.4,0.57473624,279.32452,LTE,0,,20700,50,,,
740,2,20700,11379459,-1.2330999,-78.6236661,-93,1.68003E+12,3.1,0.18127404,75.93628,LTE,0,,20700,50,,,
740,2,20700,11385858,-1.233076,-78.6236203,-89,1.68003E+12,4.4,0.12694286,294.5804,LTE,0,,20700,79,,,
740,2,20700,11379459,-1.2330867,-78.623655,-93,1.68003E+12,2,1.20E-10,-2000,LTE,0,,20700,50,,,
740,2,20700,11385858,-1.2330867,-78.623655,-92,1.68003E+12,2,1.93E-13,-2000,LTE,0,,20700,79,,,
740,2,20700,11379459,-1.2330867,-78.623655,-93,1.68003E+12,1.9,9.73E-16,-2000,LTE,0,,20700,50,,,
740,2,20700,11385858,-1.2330867,-78.623655,-95,1.68003E+12,2.1,8.40E-31,-2000,LTE,0,,20700,79,,,
740,2,20700,11379459,-1.2330867,-78.623655,-98,1.68003E+12,2.1,1.46E-40,-2000,LTE,0,,20700,50,,,
740,2,20700,11385858,-1.2330849,-78.6236537,-91,1.68003E+12,4,1.79E-04,-2000,LTE,0,,20700,79,,,
740,2,20700,11386115,-1.2330887,-78.6236529,-95,1.68003E+12,4.4,0.30730128,252.38565,LTE,0,,20700,47,,,
740,2,20700,11381762,-1.233315,-78.6235789,-98,1.68003E+12,4.8,2.250087,153.93703,LTE,0,,20700,-1,,,
740,2,20700,11386115,-1.2334534,-78.6234611,-93,1.68003E+12,3.5,2.3354185,136.51805,LTE,0,,20700,47,,,
740,2,20700,11386115,-1.2335454,-78.6233772,-93,1.68003E+12,3.8,2.7540917,143.40245,LTE,0,,20700,47,,,
740,2,20700,11379459,-1.2336969,-78.6233112,-93,1.68003E+12,3.8,3.122606,150.46092,LTE,0,,20700,50,,,
740,2,20700,11379459,-1.233834,-78.6232642,-88,1.68003E+12,3.8,3.2137012,155.01567,LTE,0,,20700,50,,,
740,2,20700,11379459,-1.2339417,-78.6232238,-91,1.68003E+12,3.7,3.0651176,156.66115,LTE,0,,20700,50,,,
740,2,20700,11386115,-1.234009,-78.6231742,-93,1.68003E+12,3.7,2.721056,152.80965,LTE,0,,20700,47,,,
740,2,20700,11386115,-1.2340814,-78.6231166,-91,1.68003E+12,3.6,2.425287,149.76831,LTE,0,,20700,47,,,
740,2,20700,11386115,-1.2341874,-78.6230592,-91,1.68003E+12,3.8,2.2886815,150.9838,LTE,0,,20700,47,,,
740,2,20700,11386115,-1.234274,-78.6229944,-93,1.68003E+12,3.7,2.2828224,149.48674,LTE,0,,20700,47,,,
740,2,20700,11379459,-1.2343488,-78.622944,-92,1.68003E+12,3.6,2.105601,145.5396,LTE,0,,20700,50,,,
740,2,20700,11379459,-1.2344792,-78.6228264,-88,1.68003E+12,3.7,1.9463711,141.06892,LTE,0,,20700,50,,,
740,2,20700,11379459,-1.2346244,-78.6227596,-88,1.68003E+12,3.6,1.6979116,159.53883,LTE,0,,20700,50,,,
740,2,20700,11379459,-1.2347785,-78.6226292,-81,1.68003E+12,3.7,1.877401,147.0539,LTE,0,,20700,50,,,
740,2,20700,11386115,-1.234939,-78.622607,-75,1.68003E+12,3.8,1.7573954,174.25917,LTE,0,,20700,47,,,
740,2,20700,11386115,-1.235037,-78.6226175,-72,1.68003E+12,3.7,1.8239969,168.93259,LTE,0,,20700,47,,,
740,2,20700,11386115,-1.2351331,-78.6225896,-74,1.68003E+12,3.7,2.0888596,153.12915,LTE,0,,20700,47,,,
740,2,20700,11386115,-1.2352292,-78.6225378,-75,1.68003E+12,3.7,2.4240625,151.7379,LTE,0,,20700,47,,,
740,2,20700,11386114,-1.2353301,-78.622489,-71,1.68003E+12,3.7,2.5440528,151.15627,LTE,0,,20700,46,,,
740,2,20700,11386114,-1.2354972,-78.6223779,-80,1.68003E+12,3.6,2.1867442,144.00565,LTE,0,,20700,46,,,
740,2,20700,11386114,-1.2355747,-78.6222901,-80,1.68003E+12,3.7,2.3349614,126.894684,LTE,0,,20700,46,,,
740,2,20700,11386114,-1.2356166,-78.6221983,-79,1.68003E+12,3.7,2.1599605,137.58394,LTE,0,,20700,46,,,
740,2,20700,11386114,-1.2357139,-78.6221079,-74,1.68003E+12,3.8,2.5215816,144.44203,LTE,0,,20700,46,,,
740,2,20700,11386114,-1.2358059,-78.6220301,-76,1.68003E+12,4,2.6688347,143.17633,LTE,0,,20700,46,,,
740,2,20700,11386114,-1.2359055,-78.6219751,-81,1.68003E+12,3.8,2.7588623,142.72801,LTE,0,,20700,46,,,
740,2,20700,11379459,-1.2360346,-78.6219504,-83,1.68003E+12,3.7,2.6450596,160.23952,LTE,0,,20700,50,,,
740,2,20700,11379459,-1.2361228,-78.6219031,-82,1.68003E+12,3.7,2.6542358,154.91266,LTE,0,,20700,50,,,
740,2,20700,11379459,-1.2362176,-78.621826,-83,1.68003E+12,3.8,2.7210557,149.98035,LTE,0,,20700,50,,,
740,2,20700,11379459,-1.2363066,-78.6217557,-81,1.68003E+12,4,2.686479,146.71495,LTE,0,,20700,50,,,
740,2,20700,11379459,-1.2364213,-78.6216647,-74,1.68003E+12,4,2.33614,151.27797,LTE,0,,20700,50,,,
740,2,20700,11379459,-1.2365467,-78.6216068,-73,1.68003E+12,3.7,2.5370033,155.26329,LTE,0,,20700,50,,,
740,2,20700,11379459,-1.2366747,-78.6215236,-73,1.68003E+12,3.7,2.8081386,142.77615,LTE,0,,20700,50,,,
740,2,20700,11379459,-1.2367905,-78.6214688,-77,1.68003E+12,3.8,2.9788024,158.3038,LTE,0,,20700,50,,,
740,2,20700,11386114,-1.2369208,-78.6213857,-80,1.68003E+12,3.7,3.082177,149.59688,LTE,0,,20700,46,,,
740,2,20700,11386114,-1.2370275,-78.6212946,-86,1.68003E+12,3.8,3.0695112,147.25409,LTE,0,,20700,46,,,
