mcc,mnc,lac,cellid,lat,lon,signal,measured_at,rating,speed,direction,act,ta,psc,tac,pci,sid,nid,bid
740,2,20700,11386115,-1.2329266,-78.6234464,-98,1680014965900,22.5,4.1801176,148.72855,LTE,0,,20700,47,,,
740,2,20700,11386115,-1.2328644,-78.6236304,-97,1680014971121,6.0,0.5926743,151.16827,LTE,0,,20700,47,,,
740,2,20700,11386115,-1.2327742,-78.6237942,-96,1680014976004,3.4,0.58948493,153.775,LTE,0,,20700,47,,,
740,2,20700,11386115,-1.2329045,-78.6237159,-96,1680014981003,3.9,3.5120823,149.64694,LTE,0,,20700,47,,,
740,2,20700,11379459,-1.2331556,-78.6235925,-98,1680014985987,2.4,6.3497167,153.91476,LTE,0,,20700,50,,,
740,2,20700,11381762,-1.2334007,-78.6234552,-93,1680014991004,2.6,6.056449,148.16176,LTE,0,,20700,-1,,,
740,2,20700,11386115,-1.2336721,-78.6232808,-98,1680014996003,2.2,7.0766034,148.169,LTE,0,,20700,47,,,
740,2,20700,11379459,-1.2339838,-78.6231117,-101,1680015001032,2.1,7.245887,148.39154,LTE,0,,20700,50,,,
740,2,20700,11379459,-1.2342608,-78.6229272,-97,1680015006022,2.0,6.7290297,146.7216,LTE,0,,20700,50,,,
740,2,20700,11379459,-1.2345258,-78.6227553,-94,1680015011030,1.9,6.650806,143.57686,LTE,0,,20700,50,,,
740,2,20700,11379459,-1.23477,-78.6225994,-89,1680015016012,2.0,6.2096424,148.3767,LTE,0,,20700,50,,,
740,2,20700,11379459,-1.2349632,-78.6225355,-87,1680015021008,1.9,3.798786,166.25359,LTE,0,,20700,50,,,
740,2,20700,11386115,-1.2351049,-78.622522,-85,1680015026000,2.0,3.560181,164.78777,LTE,0,,20700,47,,,
740,2,20700,11386115,-1.2353178,-78.6224387,-86,1680015031015,1.9,5.758903,151.18352,LTE,0,,20700,47,,,
740,2,20700,11386114,-1.2355076,-78.6222577,-86,1680015036011,2.0,4.905998,125.21926,LTE,0,,20700,46,,,
740,2,20700,11386114,-1.2356109,-78.6221435,-85,1680015041035,1.9,3.811121,137.53818,LTE,0,,20700,46,,,
740,2,20700,11386114,-1.2358266,-78.622016,-81,1680015045995,2.1,5.8529596,148.26997,LTE,0,,20700,46,,,
740,2,20700,11379459,-1.23607,-78.6218609,-87,1680015051001,2.2,6.003386,148.00706,LTE,0,,20700,50,,,
740,2,20700,11379459,-1.2362919,-78.6216876,-77,1680015056020,2.1,5.1618104,143.30128,LTE,0,,20700,50,,,
740,2,20700,11379459,-1.236416,-78.6216353,-82,1680015061025,2.2,2.3671694,161.35617,LTE,0,,20700,50,,,
740,2,20700,11379459,-1.236565,-78.6215511,-86,1680015100647,3.6,2.4049776,150.02676,LTE,0,,20700,50,,,
