mcc,mnc,lac,cellid,lat,lon,signal,measured_at,rating,speed,direction,act,ta,psc,tac,pci,sid,nid,bid
740,2,20700,11379203,-1.2464783,-78.6296367,-104,1680180062513,3.9,1.3714033E-6,-2000.0,LTE,0,,20700,32,,,
740,2,20700,11379203,-1.2463167,-78.6294327,-98,1680180077530,2.4,3.6579535,59.45526,LTE,0,,20700,32,,,
740,2,20700,11379203,-1.2463119,-78.6292727,-98,1680180082533,2.2,4.0477815,106.58134,LTE,0,,20700,32,,,
740,2,20700,11379203,-1.2464,-78.6290192,-98,1680180087531,1.9,6.675062,102.43413,LTE,0,,20700,32,,,
740,2,20700,11379203,-1.2464322,-78.6286857,-93,1680180092528,1.8,7.0331173,88.36327,LTE,0,,20700,32,,,
740,2,20700,11379203,-1.2463795,-78.628368,-97,1680180097513,1.8,6.931281,74.70477,LTE,0,,20700,32,,,
740,2,20700,11379202,-1.2462491,-78.6280386,-100,1680180102513,1.9,7.7218084,65.81884,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2461062,-78.6277766,-97,1680180107517,2.0,5.744448,63.105618,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2459448,-78.6277166,-97,1680180112516,2.0,3.5170052,359.6731,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2457715,-78.6278242,-94,1680180117500,3.6,4.6810684,329.22693,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2455572,-78.6280257,-96,1680180122520,2.2,6.1261163,318.74863,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2453894,-78.6281622,-95,1680180127505,2.1,3.5735052,320.10236,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2452523,-78.6281916,-92,1680180132518,2.1,3.3565555,29.712542,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2451222,-78.6280669,-96,1680180137525,2.2,4.990584,49.79602,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.24496,-78.6279025,-95,1680180142523,2.4,4.508597,52.346428,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2448407,-78.6277659,-96,1680180147513,2.5,3.23088,47.05282,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2446742,-78.6275588,-88,1680180152528,2.4,5.6005187,44.509495,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2444661,-78.6273598,-92,1680180157510,2.5,5.8488336,41.44421,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2443021,-78.6271476,-92,1680180162527,2.7,5.26582,52.083893,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2441682,-78.6269337,-96,1680180167509,2.8,5.8101063,50.57234,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2440069,-78.6267337,-96,1680180172519,2.7,2.9085646,51.992607,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2439136,-78.6266717,-97,1680180182516,3.0,0.0038664802,-2000.0,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.243844,-78.6266023,-98,1680180192527,2.3,0.010822898,-2000.0,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2437895,-78.6265028,-98,1680180247527,2.0,0.0057748836,-2000.0,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2437035,-78.6264463,-98,1680180252528,2.1,4.164975,51.019024,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2434884,-78.6262216,-98,1680180257514,2.0,6.887515,41.03055,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2432371,-78.6259867,-93,1680180262523,1.9,6.8477902,45.92354,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2430413,-78.6257442,-86,1680180267505,1.9,6.6108856,52.83278,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2428535,-78.625497,-94,1680180272522,1.9,6.3956356,49.094658,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2426725,-78.6252656,-98,1680180277534,1.9,6.1119666,50.03591,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2425215,-78.62504,-98,1680180282523,1.8,5.0072083,55.13215,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2423894,-78.6248779,-98,1680180287525,1.8,2.9729412,50.031395,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2423073,-78.6247812,-104,1680180297524,2.1,2.7681537,54.729786,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2421968,-78.6246348,-103,1680180302515,2.9,4.5944524,57.920593,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2420801,-78.6244127,-105,1680180307529,2.3,5.5328608,47.27768,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2418482,-78.6242947,-108,1680180312533,1.7,6.1434846,15.094591,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2415539,-78.6242143,-108,1680180317528,1.7,6.7623506,13.0034075,LTE,0,,20700,31,,,
740,2,20700,11379202,-1.2412606,-78.6241446,-102,1680180322527,1.8,6.611757,10.141133,LTE,0,,20700,31,,,
740,2,20700,11388162,-1.2409699,-78.6240961,-107,1680180327524,1.8,6.4466095,13.127912,LTE,0,,20700,83,,,
740,2,20700,11388162,-1.2406808,-78.6240461,-107,1680180332511,1.9,6.763157,10.118875,LTE,0,,20700,83,,,
740,2,20700,11388162,-1.240332,-78.6239781,-106,1680180337498,1.8,8.2443,10.03889,LTE,0,,20700,83,,,
740,2,20700,11388162,-1.2399719,-78.623914,-101,1680180342532,1.8,7.397467,11.990729,LTE,0,,20700,83,,,
740,2,20700,11388162,-1.2396583,-78.623849,-98,1680180347524,1.8,5.0245023,13.921571,LTE,0,,20700,83,,,
740,2,20700,11388162,-1.2395547,-78.6238192,-98,1680180352528,1.8,0.025502648,-2000.0,LTE,0,,20700,83,,,
740,2,20700,11379459,-1.2392724,-78.6237928,-104,1680180377520,1.9,5.9083033,25.964827,LTE,0,,20700,50,,,
740,2,20700,11379459,-1.2389674,-78.6235932,-104,1680180382504,2.0,8.799803,37.87251,LTE,0,,20700,50,,,
740,2,20700,11379459,-1.2386818,-78.6232912,-94,1680180387514,2.2,9.643574,51.698135,LTE,0,,20700,50,,,
740,2,20700,11379459,-1.238447,-78.622941,-89,1680180392519,2.1,7.3383865,56.981438,LTE,0,,20700,50,,,
